Country Name,Country Code,Population_2012,Population_2017,Population_2018,Pop_Growth_2012,Pop_Growth_GDP_2017,Pop_Growth_GDP_2018,GDP_Capita_2012,GDP_Capita_2017,GDP_Capita_2018,GDP_Capita_Growth_2012,GDP_Capita_Growth_2017,GDP_Capita_Growth_2018,GDP_2012,GDP_2017,GDP_2018,GDP_Growth_2012,GDP_Growth_2017,GDP_Growth_2018,Corruption Perception Index,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,AFG,31161376,36296400,37172386,3.407586974,2.548346644,2.3847611,641.8720338,556.3021385,520.8966027,8.974879568,0.082078929,-1.350178336,20001615789,20191764940,19362969582,12.75228708,2.665292046,1.030660058,15,ASIA (EX. NEAR EAST),31056997,647500,480,0,2306,16307,700,360,32,1213,22,8765,1,466,2034,38,24,38
Angola,AGO,25107931,29816748,30809762,3.597774308,3.322080998,3.276133875,5100.095808,4095.812942,3432.385736,4.70645928,-3.409903315,-5.287779594,1.28053E+11,1.22124E+11,1.05751E+11,8.542147337,-0.147207426,-2.133493257,19,SUB-SAHARAN AFRICA,12127071,1246700,97,13,0,19119,1900,420,78,241,24,9735,,4511,242,96,658,246
Albania,ALB,2900401,2873457,2866376,-0.16515104,-0.091972294,-0.246732042,4247.614342,4532.889198,5253.630064,1.585156475,3.932164508,4.26134228,12319784886,13025062196,15058879129,1.417525992,3.836619656,4.004413234,38,EASTERN EUROPE,3581655,28748,1246,126,-493,2152,4500,865,712,2109,442,7449,3,1511,522,232,188,579
United Arab Emirates,ARE,9141596,9487203,9630959,2.154163159,1.339385202,1.50389676,40976.49971,40325.382,43004.94865,2.257926243,-0.550570888,-0.090057226,3.74591E+11,3.82575E+11,4.14179E+11,4.484626085,0.790400388,1.423840361,71,NEAR EAST,2602713,82880,314,159,103,1451,23200,779,4753,6,225,9715,1,1896,44,4,585,375
Argentina,ARG,41733271,44044811,44494502,1.136905694,1.037133897,1.015808349,13082.66433,14591.86338,11652.56629,-2.14528445,1.609282344,-3.499841931,5.45982E+11,6.42696E+11,5.18475E+11,-1.026420454,2.668590379,-2.514589602,39,LATIN AMER. & CARIB,39921833,2766890,144,18,61,1518,11200,971,2204,1231,48,8721,3,1673,755,95,358,547
Armenia,ARM,2884229,2944809,2951776,0.267013214,0.294612228,0.236306379,3681.857456,3914.501268,4212.070943,6.914143645,7.183757929,4.95169918,10619320049,11527458566,12433089919,7.200000004,7.500000001,5.2,35,C.W. OF IND. STATES,2976372,29800,999,0,-647,2328,3500,986,1957,1755,23,8015,4,1207,823,239,343,418
Australia,AUS,22733465,24601860,24992369,1.745820001,1.684523108,1.574848844,68012.1479,54093.60219,57305.29902,2.102719499,0.633037105,1.22813876,1.54615E+12,1.3308E+12,1.4322E+12,3.900900023,2.342582287,2.834948133,77,OCEANIA,20264082,7686850,26,34,398,469,29000,1000,5655,655,4,9341,1,1214,751,38,262,7
Austria,AUT,8429991,8797566,8847037,0.455937472,0.694621104,0.560750838,48567.69529,47380.82964,51512.90548,0.22244938,1.841009014,2.154641004,4.09425E+11,4.16836E+11,4.55737E+11,0.680444374,2.55088076,2.729083099,75,WESTERN EUROPE,8192880,83870,977,0,2,466,30000,980,4522,1691,86,8223,3,874,976,18,304,678
Azerbaijan,AZE,9295784,9854033,9942334,1.328763827,0.981261805,0.892098895,7496.294648,4147.089716,4721.178087,0.853886052,-1.255720601,0.512193853,69683935845,40865558912,46939529412,2.202939023,-0.282011197,1.412873527,31,C.W. OF IND. STATES,7961619,86600,919,0,-49,8174,3400,970,1371,1963,271,7766,1,2074,975,141,457,402
Burundi,BDI,9245988,10827024,11175378,3.159741833,3.181367524,3.166773442,252.3589799,293.009062,275.4296033,1.198056673,-2.646941222,-1.567053463,2333308099,3172416146,3078029929,4.446708222,0.500009999,1.599976614,22,SUB-SAHARAN AFRICA,8090068,27830,2907,0,-6,6929,600,516,34,3505,1402,5093,2,4222,1346,463,203,334
Belgium,BEL,11106932,11375158,11422068,0.620163579,0.385228018,0.41154188,44826.43961,43507.2382,46556.09957,-0.38491734,1.343234186,1.021233337,4.97884E+11,4.94902E+11,5.31767E+11,0.234778701,1.734389656,1.437834676,75,WESTERN EUROPE,10379067,30528,3400,22,123,468,29100,980,4626,2328,4,7632,3,1038,1027,1,24,749
Benin,BEN,9729248,11175204,11485048,2.797648941,2.750055592,2.734862013,837.9429209,827.4298101,901.9540522,1.924720372,2.966881509,3.975183596,8152554487,9246696924,10358985583,4.816478241,5.837823305,6.858002271,39,SUB-SAHARAN AFRICA,7862944,112620,698,11,0,85,1100,409,97,1808,24,7952,2,3885,1222,316,138,546
Burkina Faso,BFA,16571246,19193284,19751535,2.997392478,2.890850806,2.867078367,673.8215984,642.0404265,731.171717,3.309239817,3.273054539,3.499444399,11166063467,12322864245,14441763759,6.452698755,6.302096059,6.50980304,42,SUB-SAHARAN AFRICA,13902972,274200,507,0,0,9757,1100,266,70,1443,19,8538,2,4562,156,322,196,482
Bangladesh,BGD,151007807,159670593,161356039,1.15494813,1.070244022,1.050044649,883.1050005,1563.994082,1698.262802,5.298244958,6.142103948,6.737017522,1.33356E+11,2.49724E+11,2.74025E+11,6.521435078,7.284184092,7.863708893,28,ASIA (EX. NEAR EAST),147365352,144000,10234,40,-71,626,1900,431,73,6211,307,3482,2,298,827,199,198,603
Bulgaria,BGR,7305888,7075947,7024216,-0.579220596,-0.730443175,-0.733767859,7378.02473,8228.01157,9272.629304,0.612051095,4.572306501,3.840315458,53903022339,58220973783,65132951116,0.030969869,3.811248158,3.081157234,43,EASTERN EUROPE,7385367,110910,666,32,-458,2055,7600,986,3363,4002,192,5806,3,965,1427,93,304,603
Bahrain,BHR,1299943,1494074,1569439,1.690591501,4.677986951,4.921161372,23654.35139,23715.48275,24050.75751,1.993303563,-0.940563981,-3.10970607,30749308511,35432686170,37746196809,3.732251521,3.803522262,1.777693753,36,NEAR EAST,698585,665,10505,2421,105,1727,16900,891,2813,282,563,9155,1,178,414,5,387,608
Belarus,BLR,9464495,9498264,9485386,-0.091637482,-0.034421419,-0.135674667,6940.159254,5761.74712,6289.938553,1.780361776,2.567482608,3.189813054,65685102555,54726595249,59662495092,1.687135536,2.5321835,3.04990555,44,C.W. OF IND. STATES,10293011,207600,496,0,254,1337,6100,996,3191,2955,6,6985,4,1116,1402,93,316,591
Bolivia,BOL,10377676,11192854,11353142,1.600004605,1.44923493,1.421899486,2609.880819,3351.124053,3548.59014,3.453697676,2.696065296,2.752155942,27084497540,37508642258,40287647757,5.122274661,4.195209367,4.223624932,33,LATIN AMER. & CARIB,8989046,1098580,82,0,-132,5311,2400,872,719,267,19,9714,15,233,753,128,352,52
Brazil,BRA,199287296,207833831,209469333,0.893531058,0.807147162,0.783847579,12370.0242,9880.946543,8920.762105,1.014535214,0.251410419,0.328069801,2.46519E+12,2.05359E+12,1.86863E+12,1.921175986,1.063861259,1.11757918,37,LATIN AMER. & CARIB,188078227,8511965,221,9,-3,2961,7600,864,2253,696,9,9215,2,1656,617,84,4,516
Barbados,BRB,283700,286233,286641,0.251638162,0.152789486,0.142439723,16412.9362,16327.60723,,0.029125218,0.845800449,,4656350000,4673500000,,0.281153637,1,,68,LATIN AMER. & CARIB,279912,431,6495,2251,-31,125,15700,974,4819,3721,233,6046,2,1271,867,6,16,78
Brunei Darussalam,BRN,398989,424473,428962,1.337513016,1.10699921,1.051993743,47741.90647,28572.10942,31627.74208,-0.427894474,0.21322875,-0.994680766,19048495519,12128089000,13567099498,0.912841671,1.328751422,0.052346673,62,ASIA (EX. NEAR EAST),379444,5770,658,279,359,1261,18600,939,2372,57,76,9867,2,1879,345,36,561,403
Bhutan,BTN,701583,745568,754394,1.187928924,1.195337374,1.176843395,2599.396094,3390.714075,3360.266867,3.830917042,3.385875811,1.093903175,1823692110,2528007911,2534965163,5.071709815,4.629101391,2.290648193,67,ASIA (EX. NEAR EAST),2279723,47000,485,0,0,10044,1300,422,143,309,43,9648,2,3365,127,258,379,363
Botswana,BWA,2039551,2205128,2254126,1.191100637,2.070326167,2.197675758,7877.79035,7893.675933,8258.641666,3.219369515,0.798916246,2.18304965,16067155187,17406565823,18616018903,4.456167213,2.90753491,4.453559601,61,SUB-SAHARAN AFRICA,1639833,600370,27,0,0,5458,9000,798,805,65,1,9934,1,2308,295,24,469,507
Canada,CAN,34714222,36540268,37058856,1.085817263,1.185925675,1.409246617,52542.34666,45069.92725,46210.54762,0.66330309,1.764529721,0.452912515,1.82397E+12,1.64687E+12,1.71251E+12,1.762278246,2.978565963,1.878563662,82,NORTHERN AMERICA,33098932,9984670,33,202,596,475,29800,970,5522,496,2,9502,,1078,78,22,294,684
Switzerland,CHE,7996861,8451840,8516543,1.061819329,0.933155889,0.762633818,83538.23008,80333.44494,82838.92944,-0.060803476,0.672860567,1.761393104,6.68044E+11,6.78965E+11,7.05501E+11,1.006024097,1.616692155,2.540426713,85,WESTERN EUROPE,7523934,41290,1822,0,405,439,32700,990,6809,1042,61,8897,3,971,849,15,34,645
Chile,CHL,17400347,18470439,18729160,0.963057457,1.425185044,1.391010541,15351.55133,15037.35011,15923.35906,4.309217504,-0.153995449,2.587676494,2.67122E+11,2.77746E+11,2.98231E+11,5.318628,1.279183341,4.024652965,67,LATIN AMER. & CARIB,16134219,756950,213,85,0,88,9900,962,2130,265,42,9693,3,1523,581,6,493,447
China,CHN,1350695000,1386395000,1392730000,0.487231118,0.559121331,0.455899679,6316.918863,8759.041578,9770.847088,7.33538001,6.161772004,6.115117072,8.53223E+12,1.21435E+13,1.36082E+13,7.859627493,6.757007611,6.6,41,ASIA (EX. NEAR EAST),1313973713,9596960,1369,15,-4,2418,5000,909,2667,154,125,8335,15,1325,697,125,473,403
Cote d'Ivoire,CIV,21547188,24437469,25069229,2.435928938,2.54780739,2.552358861,1243.344509,1557.182948,1715.531238,8.042352489,4.992709086,4.725692099,26790577891,38053610009,43007045466,10.7065041,7.702089422,7.433071625,36,SUB-SAHARAN AFRICA,17654843,322460,548,16,-7,9083,1400,509,146,975,1384,7641,2,3511,1484,279,171,55
Cameroon,CMR,21485266,24566045,25216237,2.731263968,2.637694363,2.612290751,1354.623087,1421.587492,1526.875713,1.7265535,0.853486026,1.181905266,29104437355,34922782311,38502059858,4.543265016,3.549087318,3.859896996,25,SUB-SAHARAN AFRICA,17340702,475440,365,8,0,6826,1800,790,57,1281,258,8461,15,3389,1347,448,17,382
Colombia,COL,46076848,48901066,49648685,0.902010125,1.503387796,1.517270891,8042.529769,6375.932063,6651.291293,2.970052362,-0.160980396,1.112276195,3.70574E+11,3.1179E+11,3.30228E+11,3.903054219,1.351326676,2.658121,37,LATIN AMER. & CARIB,43593035,1138910,383,28,-31,2097,6300,925,1762,242,167,9591,2,2048,558,125,342,533
Comoros,COM,723871,813892,832322,2.419233782,2.274118744,2.239170611,1403.428519,1312.366174,1445.450809,0.733574939,0.398322754,0.523712698,1015901205,1068124330,1203080508,3.200272903,2.707658829,2.8,27,SUB-SAHARAN AFRICA,690948,2170,3184,1567,0,7493,700,565,245,3587,2332,4081,2,3693,82,4,4,56
Cabo Verde,CPV,505235,537497,543767,1.270619062,1.188624222,1.159766769,3467.472684,3295.341106,3654.007345,-0.194322593,2.784249088,4.303841247,1751888562,1771235958,1986928612,1.081918279,4.013257244,5.520564475,55,SUB-SAHARAN AFRICA,420979,4033,1044,2393,-1207,4777,1400,766,1696,968,5,8982,3,2487,655,121,219,66
Costa Rica,CRI,4688000,4949954,4999441,1.178288353,1.02767609,0.994782258,9913.210708,11752.5436,12026.54753,3.569356339,2.340034914,1.647829063,46473131799,58174550212,60126014829,4.796919918,3.397181701,2.664049844,59,LATIN AMER. & CARIB,4075261,51100,798,252,51,995,9100,960,3407,441,588,8971,2,1832,436,88,299,614
Cuba,CUB,11257101,11339259,11338138,0.18165923,0.03660521,-0.009886496,6497.321113,8541.210673,,2.827934086,1.746246382,,73141000000,96851000000,,3.014900289,1.783497627,,47,LATIN AMER. & CARIB,11382820,110860,1027,337,-158,633,2900,970,747,3305,76,5935,2,1189,722,55,261,684
Cyprus,CYP,1135046,1179680,1189265,0.903859855,0.807965016,0.809225398,28984.94455,25760.7627,28159.3017,-4.34671215,3.501636506,2.745155679,25041397919,22141864999,24469841832,-2.878099556,4.468879044,3.875984867,57,NEAR EAST,784301,9250,848,701,43,718,19200,976,,779,444,8777,3,1256,768,37,198,765
Czech Republic,CZE,10510785,10594438,10625695,0.139925656,0.265642664,0.294597801,19729.87051,20379.89604,23078.57349,-0.938553682,4.075766344,2.65491944,2.07376E+11,2.15914E+11,2.45226E+11,-0.799844281,4.352603518,2.957784473,57,EASTERN EUROPE,10235455,78866,1298,0,97,393,15700,999,3143,398,305,5715,3,902,1059,34,393,573
Germany,DEU,80425823,82657002,82927922,0.187727801,0.37372456,0.32722815,44065.24891,44681.08258,48195.5799,0.303518386,1.776035789,1.093953753,3.54398E+12,3.6932E+12,3.99676E+12,0.491992829,2.15710947,1.425303467,81,WESTERN EUROPE,82422299,357021,2309,67,218,416,27600,990,6679,3385,59,6556,3,825,1062,9,296,695
Djibouti,DJI,868136,944097,958920,1.679899653,1.599962382,1.557873607,1559.240651,1953.903502,2050.204732,,2.438110723,4.317508206,1353632942,1844674435,1965982322,,4.090263628,5.9553679,31,SUB-SAHARAN AFRICA,486530,23000,212,137,0,10413,1300,679,228,4,0,9996,1,3953,1931,179,225,596
Dominica,DMA,70965,71458,71625,0.069071972,0.21153652,0.233431052,6848.418067,6951.303542,7031.709754,-1.127099991,-9.721583475,0.298339687,485997988.1,496726248.5,503646211.1,-1.058782938,-9.530409524,0.532740632,57,LATIN AMER. & CARIB,68910,754,914,1963,-1387,1415,5400,940,3048,667,20,7333,2,1527,673,177,328,495
Denmark,DNK,5591572,5764980,5797446,0.376272243,0.643350904,0.561579124,58507.50805,57218.85485,60726.46654,-0.149916083,1.606574923,0.9213117,3.27149E+11,3.29866E+11,3.52058E+11,0.226499797,2.262369008,1.489659084,88,WESTERN EUROPE,5450661,43094,1265,1697,248,456,31100,1000,6146,5402,19,4579,3,1113,1036,18,246,735
Dominican Republic,DOM,9930911,10513131,10627165,1.192277887,1.103628391,1.078841148,6107.977431,7222.554044,7650.072753,1.499963278,3.404295446,5.803116129,60657780261,75931656815,81298585403,2.717367897,4.551815138,6.950743086,29,LATIN AMER. & CARIB,9183984,48730,1885,264,-322,3238,6000,847,974,2265,1033,6702,2,2322,573,112,306,582
Algeria,DZA,37383887,41389198,42228429,1.951415209,2.044952503,2.00737383,5592.22191,4048.285258,4278.85006,1.377052951,-0.456572113,0.070905214,2.09059E+11,1.67555E+11,1.80689E+11,3.374768651,1.600000001,2.1,33,NORTHERN AFRICA,32930091,2381740,138,4,-39,31,6000,700,781,322,25,9653,1,1714,461,101,6,298
Ecuador,ECU,15474102,16785361,17084357,1.498947998,1.768538648,1.765611201,5682.045007,6213.501276,6344.871979,4.070252971,0.573877117,-0.397089903,87924544000,1.04296E+11,1.08398E+11,5.641962067,2.368386526,1.37712703,32,LATIN AMER. & CARIB,13547510,283560,478,79,-858,2366,3300,925,1256,585,493,8922,2,2229,423,7,312,618
"Egypt, Arab Rep.",EGY,86422240,96442593,98423595,2.214742178,2.09083472,2.033262176,3232.648892,2440.510173,2549.139458,-0.012959635,2.025577857,3.194431298,2.79373E+11,2.35369E+11,2.50895E+11,2.226199799,4.181221,5.314121037,32,NORTHERN AFRICA,78887007,1001450,788,24,-22,3259,4000,577,1318,287,48,9665,1,2294,523,149,357,493
Eritrea,ERI,,,,,,,,,,,,,,,,,,,20,SUB-SAHARAN AFRICA,4786994,121320,395,184,0,7487,700,586,79,495,3,9502,15,3433,96,102,254,643
Spain,ESP,46773055,46593236,46723749,0.064925963,0.235648507,0.279719893,28563.85904,28208.26105,30523.85924,-2.990755144,2.736799193,2.295205926,1.33602E+12,1.31431E+12,1.42619E+12,-2.927750507,2.979182401,2.581746534,57,WESTERN EUROPE,40397842,504782,800,98,99,442,22000,979,4535,2607,987,6406,3,1006,972,4,295,665
